"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,NA,NA,3,NA,3,3,NA,NA,3,3,NA,4,NA,3
"2",NA,3,3,NA,NA,NA,3,3,NA,NA,3,NA,5,NA,3
"3",NA,NA,3,3,3,3,3,3,NA,NA,NA,4,3,3,NA
"4",4,4,NA,NA,3,NA,NA,3,NA,2,NA,4,NA,4,NA
"5",5,NA,5,5,NA,NA,5,NA,5,NA,NA,5,NA,NA,5
"6",1,NA,4,2,NA,NA,4,NA,4,2,NA,3,NA,NA,NA
"7",NA,NA,3,4,NA,3,NA,NA,3,NA,1,5,NA,NA,3
"8",2,NA,NA,NA,4,NA,NA,2,1,2,NA,3,1,NA,2
"9",3,NA,3,NA,NA,5,NA,3,3,NA,3,NA,3,4,3
"10",NA,4,NA,5,NA,NA,NA,NA,5,NA,NA,5,NA,4,5
"11",NA,3,3,3,5,3,NA,3,NA,NA,NA,NA,NA,NA,3
"12",2,NA,NA,NA,4,2,3,2,NA,NA,NA,2,4,NA,NA
"13",NA,3,5,5,3,NA,NA,5,4,NA,NA,NA,5,3,NA
"14",NA,3,3,3,NA,NA,NA,3,NA,NA,3,NA,4,NA,NA
"15",NA,NA,NA,NA,3,2,NA,2,NA,2,NA,2,NA,2,2
"16",4,1,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2
"17",NA,NA,NA,2,NA,2,NA,2,NA,1,1,NA,5,NA,NA
"18",3,3,3,3,3,5,4,5,NA,NA,NA,NA,3,NA,NA
"19",NA,4,NA,NA,NA,NA,4,3,NA,NA,5,NA,NA,NA,3
"20",NA,NA,4,4,NA,NA,3,NA,2,2,NA,5,NA,4,5
"21",NA,1,3,3,NA,NA,NA,5,1,5,1,2,NA,4,3
"22",5,5,NA,5,5,5,NA,5,NA,5,5,5,5,5,NA
"23",NA,4,4,NA,NA,1,5,2,NA,NA,3,NA,NA,2,NA
"24",4,NA,2,2,NA,NA,NA,2,2,2,2,NA,NA,NA,3
"25",3,NA,3,NA,NA,3,NA,NA,5,NA,2,5,NA,4,NA
"26",1,1,1,2,1,1,1,NA,NA,NA,1,1,1,NA,NA
"27",5,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,5,3,3
"28",NA,NA,3,1,NA,4,5,NA,2,4,4,NA,3,NA,NA
"29",NA,NA,3,NA,3,NA,3,NA,5,5,3,NA,NA,NA,NA
"30",4,NA,NA,NA,3,NA,NA,3,NA,2,3,3,NA,NA,3
"31",2,NA,4,NA,3,NA,2,NA,1,NA,NA,3,2,2,NA
"32",5,NA,NA,NA,4,3,NA,3,4,3,NA,NA,5,NA,3
"33",NA,NA,4,NA,NA,3,NA,NA,2,NA,5,NA,2,2,NA
"34",5,3,NA,NA,5,4,NA,2,NA,NA,2,NA,5,NA,NA
"35",NA,4,3,4,NA,NA,NA,2,5,NA,4,4,3,NA,NA
"36",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,NA
"37",5,NA,3,NA,NA,3,NA,3,5,3,NA,NA,3,NA,3
"38",NA,NA,3,NA,NA,2,3,3,NA,NA,NA,NA,5,NA,3
"39",NA,3,NA,4,5,NA,NA,3,5,3,3,NA,5,NA,1
"40",5,2,1,3,NA,3,2,1,NA,NA,NA,NA,NA,4,2
"41",5,3,NA,3,5,4,3,3,NA,NA,NA,4,3,NA,NA
