V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3,3,5,3,4,3,5,5,3,4,3,5,5,3,4
4,3,5,5,2,1,1,4,4,3,5,5,5,5,3
3,3,3,4,3,3,5,3,1,3,3,4,3,3,3
4,4,4,4,3,3,4,5,5,3,3,4,3,2,3
3,4,3,4,5,2,5,2,4,3,4,4,3,2,3
3,3,5,4,5,3,3,3,5,3,3,5,3,3,3
4,4,4,5,3,4,2,3,4,3,3,5,3,5,3
4,4,4,4,5,5,3,4,4,5,5,5,3,3,4
3,4,4,4,5,3,5,3,5,4,3,4,4,3,3
3,4,4,4,3,3,4,4,4,3,3,3,4,4,3
5,3,4,3,3,3,3,4,4,3,3,3,3,3,3
3,4,4,3,2,2,4,3,2,5,2,4,3,2,2
5,1,1,4,3,1,5,1,5,5,5,5,1,1,1
4,4,3,3,4,3,4,3,3,4,3,5,4,4,4
5,3,4,4,3,3,4,4,3,5,4,3,1,2,3
3,5,3,5,3,3,5,3,5,5,4,4,1,2,3
3,3,3,3,3,3,3,3,3,3,3,4,3,4,3
4,3,3,3,3,3,3,4,3,3,3,3,3,3,3
4,3,2,4,4,3,4,3,3,3,4,5,3,3,4
5,3,4,3,4,4,4,4,2,4,3,3,3,3,3
3,3,3,4,3,3,5,3,5,3,3,5,3,3,3
4,3,3,5,5,3,2,2,4,4,3,5,3,3,3
3,3,3,4,3,3,3,3,4,3,3,3,3,3,3
3,3,4,3,4,3,5,4,4,4,5,5,4,3,2
3,3,4,2,4,3,3,2,2,3,4,5,2,1,3
4,4,3,5,5,4,5,3,4,5,5,4,3,2,3
4,3,4,3,5,4,4,5,5,4,5,5,4,3,4
1,3,4,4,3,3,3,4,4,5,4,3,2,3,4
3,3,3,3,3,3,3,2,1,3,3,5,5,5,3
5,4,4,4,4,3,3,3,2,3,2,3,3,4,3
4,1,3,4,5,1,5,3,5,3,1,3,1,1,1
3,5,4,4,5,2,4,4,3,3,3,5,3,2,2
2,3,4,3,4,2,5,3,4,3,3,5,3,3,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,2,4,3,3,3,4,4,4,3,3,3,3,4
3,5,4,3,4,4,1,3,2,4,3,5,5,5,3
5,5,3,1,1,3,3,4,5,3,3,5,3,3,3
3,3,3,5,3,3,5,3,5,3,5,5,3,3,3
1,1,3,3,3,2,4,3,2,1,2,4,2,4,2
2,3,4,5,5,4,3,4,5,5,4,5,5,3,3
3,3,4,5,3,3,3,4,4,5,5,5,3,3,3
3,3,4,5,4,2,5,4,2,3,3,3,3,5,4
3,3,3,1,4,3,3,3,1,3,4,5,3,3,3
5,3,4,3,4,4,3,3,2,4,3,3,3,3,3
3,4,3,4,4,3,3,3,3,4,4,5,3,3,3
5,5,4,2,5,4,4,3,2,5,1,5,4,2,4
4,3,3,2,4,3,3,2,4,3,3,4,3,4,3
3,3,4,4,3,3,3,3,2,3,3,4,3,3,3
3,2,4,2,4,4,4,3,2,2,2,5,4,4,2
3,2,3,3,3,3,4,3,3,3,3,4,3,4,3
